dt,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Cancelled Rides by Customer,Reason for cancelling by Customer,Cancelled Rides by Driver,Driver Cancellation Reason,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating,Payment Method
20240323,12:29:38,CNR5884300,0,CID1982111,eBike,Palam Vihar,Jhilmil,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241129,18:01:39,CNR1326809,1,CID4604802,Go Sedan,Shastri Nagar,Gurgaon Sector 56,4.9,14,0,0,0,0,1,1,237,5.73,4.3,4.5,UPI
20240823,08:56:10,CNR8494506,2,CID9202816,Auto,Khandsa,Malviya Nagar,13.4,25.8,0,0,0,0,0,0,627,13.58,4.9,4.9,Debit Card
20241021,17:17:25,CNR8906825,2,CID2610914,Premier Sedan,Central Secretariat,Inderlok,13.1,28.5,0,0,0,0,0,0,416,34.02,4.6,5,UPI
20240916,22:08:00,CNR1950162,2,CID9933542,Bike,Ghitorni Village,Khan Market,5.3,19.6,0,0,0,0,0,0,737,48.21,4.1,4.3,UPI
20240206,09:44:56,CNR4096693,2,CID4670564,Auto,AIIMS,Narsinghpur,5.1,18.1,0,0,0,0,0,0,316,4.85,4.1,4.6,UPI
20240617,15:45:58,CNR2002539,2,CID6800553,Go Mini,Vaishali,Punjabi Bagh,7.1,20.4,0,0,0,0,0,0,640,41.24,4,4.1,UPI
20240319,17:37:37,CNR6568000,2,CID8610436,Auto,Mayur Vihar,Cyber Hub,12.1,16.5,0,0,0,0,0,0,136,6.56,4.4,4.2,UPI
20240914,12:49:09,CNR4510807,0,CID7873618,Go Sedan,Noida Sector 62,Noida Sector 18,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20241216,19:06:48,CNR7721892,1,CID5214275,Auto,Rohini,Adarsh Nagar,6.1,26,0,0,0,0,1,2,135,10.36,4.3,4.5,Cash
20240614,16:24:12,CNR9070334,2,CID6680340,Auto,Udyog Bhawan,Dwarka Sector 21,7.7,18.9,0,0,0,0,0,0,181,19.84,4.2,4.9,Cash
20240918,08:09:38,CNR9551927,0,CID7568143,Auto,Vidhan Sabha,AIIMS,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240625,22:44:15,CNR4386945,3,CID5543520,eBike,Patel Chowk,Kherki Daula Toll,4.6,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20240911,19:29:39,CNR2987763,2,CID2669710,Go Mini,Malviya Nagar,Ghitorni Village,12.2,28.2,0,0,0,0,0,0,394,21.44,4.1,4.7,UPI
20241018,18:28:53,CNR8962232,2,CID1789354,Go Mini,Madipur,GTB Nagar,14,30.9,0,0,0,0,0,0,836,39.55,4.7,4.4,UPI
20240607,15:05:35,CNR2390352,2,CID5432215,Auto,Jama Masjid,Khan Market,8.5,36.9,0,0,0,0,0,0,410,34.76,4,4.9,Uber Wallet
20240701,10:51:16,CNR3221338,2,CID2581698,Premier Sedan,IGI Airport,Madipur,5.6,27.5,0,0,0,0,0,0,401,21.97,4.9,4.3,UPI
20241215,15:08:25,CNR6739317,3,CID8682675,Go Sedan,Vinobapuri,GTB Nagar,6,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20241124,09:07:10,CNR6126048,4,CID1060329,eBike,Kashmere Gate,Anand Vihar,12.4,28.8,1,1,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
20240524,19:53:57,CNR9465840,3,CID9046501,eBike,Pitampura,Rajiv Nagar,10.3,28.8,0,0,1,2,0,0,414,23.72,4.3,4.5,Not Applicable
20241214,21:27:04,CNR9843229,2,CID4929303,Go Sedan,Punjabi Bagh,Mansarovar Park,6.1,33.7,0,0,0,0,0,0,264,13.64,3.8,4.7,Uber Wallet
20240729,06:28:22,CNR7911434,2,CID8465004,Auto,Greater Noida,Botanical Garden,7,21.3,0,0,0,0,0,0,183,4.5,5,4.2,UPI
20240223,11:02:45,CNR6178330,2,CID7719678,Go Mini,Tis Hazari,IMT Manesar,10.4,25.1,0,0,0,0,0,0,713,38.03,3.7,3.6,UPI
20240309,20:14:24,CNR5309981,2,CID3870048,Go Mini,Noida Sector 18,Old Gurgaon,7.9,41.1,0,0,0,0,0,0,113,14.53,4.6,4.9,UPI
20240828,16:30:14,CNR2978950,2,CID2977484,Auto,Kanhaiya Nagar,Anand Vihar,13.6,25.2,0,0,0,0,0,0,767,7.39,3.8,4.6,Debit Card
20240808,06:34:38,CNR2806943,2,CID7550481,Uber XL,Okhla,Barakhamba Road,5.1,20.7,0,0,0,0,0,0,495,10.23,3.8,4.2,Credit Card
20240126,09:44:00,CNR3614535,3,CID2507102,Auto,Cyber Hub,Saket,11.5,28.8,0,0,1,1,0,0,414,23.72,4.3,4.5,Not Applicable
20240412,19:42:35,CNR4499383,0,CID5717521,Premier Sedan,Sadar Bazar Gurgaon,Mehrauli,8.3,28.8,0,0,0,0,0,0,414,23.72,4.3,4.5,Not Applicable
